2019/05/30 15:27:01 [conf.go:34][D] 网关配置文件初始化结束...%!(EXTRA main.Config={0 127.0.0.1 1 1 1 8500 1 3 http://10.0.0.148:8089 http://10.0.0.148:8088 http://10.0.0.222:8087})
2019/05/30 15:27:01 [hall.go:72][D] 大厅初始化结束
2019/05/30 15:27:01 [hall.go:74][D] 游服初始化结束
2019/05/30 15:27:01 [mgrdesk.go:403][D] 获取游戏服务器信息成功%!(EXTRA main.DbGetGameServerData={1000 true true 1 斗地主 1 荣耀厅 1 true 0 8 20000 1 匹配房间 ddz 9223372036854776 0.05})
2019/05/30 15:27:01 [main.go:19][D] 服务器运行开始
2019/05/30 16:29:31 [hall.go:811][D] 发送修改金币
2019/05/30 16:29:31 [hall.go:732][D] 发送保存记录
2019/05/30 16:29:31 [hall.go:811][D] 发送修改金币
2019/05/30 16:29:32 [hall.go:732][D] 发送保存记录
2019/05/30 16:29:32 [hall.go:811][D] 发送修改金币
2019/05/30 16:29:32 [hall.go:732][D] 发送保存记录
2019/05/30 16:29:32 [hall.go:779][D] 发送斗地主的保存记录
2019/05/30 16:29:32 [hall.go:779][D] 发送斗地主的保存记录
2019/05/30 16:29:32 [hall.go:779][D] 发送斗地主的保存记录
2019/05/30 16:30:35 [hall.go:811][D] 发送修改金币
2019/05/30 16:30:35 [hall.go:732][D] 发送保存记录
2019/05/30 16:30:35 [hall.go:811][D] 发送修改金币
2019/05/30 16:30:35 [hall.go:732][D] 发送保存记录
2019/05/30 16:30:35 [hall.go:811][D] 发送修改金币
2019/05/30 16:30:35 [hall.go:732][D] 发送保存记录
2019/05/30 16:30:35 [hall.go:779][D] 发送斗地主的保存记录
2019/05/30 16:30:35 [hall.go:779][D] 发送斗地主的保存记录
2019/05/30 16:30:35 [hall.go:779][D] 发送斗地主的保存记录
2019/05/30 16:32:31 [hall.go:811][D] 发送修改金币
2019/05/30 16:32:31 [hall.go:732][D] 发送保存记录
2019/05/30 16:32:31 [hall.go:811][D] 发送修改金币
2019/05/30 16:32:31 [hall.go:732][D] 发送保存记录
2019/05/30 16:32:31 [hall.go:811][D] 发送修改金币
2019/05/30 16:32:31 [hall.go:732][D] 发送保存记录
2019/05/30 16:32:31 [hall.go:779][D] 发送斗地主的保存记录
2019/05/30 16:32:31 [hall.go:779][D] 发送斗地主的保存记录
2019/05/30 16:32:31 [hall.go:779][D] 发送斗地主的保存记录
