2019/08/23 17:27:50.393 [D] [conf.go:34]  网关配置文件初始化结束...%!(EXTRA main.Config={0 192.168.0.139 9 3 6 8700 1 500 http://10.0.0.148:8089 http://10.0.0.148:8088 http://192.168.0.181:8087})
2019/08/23 17:27:50.393 [D] [ext_timer.go:15]  洗牌中
2019/08/23 17:27:50.408 [D] [hall.go:72]  大厅初始化结束
2019/08/23 17:27:50.408 [D] [hall.go:74]  游服初始化结束
2019/08/23 17:27:53.408 [D] [ext_timer.go:39]  准备中
2019/08/23 17:27:53.467 [D] [mgrdesk.go:442]  获取游戏服务器信息失败%!(EXTRA *url.Error=Get http://10.0.0.148:8088/web/gameInfo/gameinfo?gradeId=6&gameId=9&roomId=3: dial tcp 10.0.0.148:8088: connectex: 由于目标计算机积极拒绝，无法连接。)
2019/08/23 17:28:18.567 [D] [conf.go:34]  网关配置文件初始化结束...%!(EXTRA main.Config={0 192.168.0.139 9 3 6 8700 1 500 http://10.0.0.88:8089 http://10.0.0.88:8088 http://192.168.0.181:8087})
2019/08/23 17:28:18.568 [D] [ext_timer.go:15]  洗牌中
2019/08/23 17:28:18.576 [D] [hall.go:72]  大厅初始化结束
2019/08/23 17:28:18.576 [D] [hall.go:74]  游服初始化结束
2019/08/23 17:28:18.715 [D] [mgrdesk.go:453]  获取游戏服务器信息成功%!(EXTRA main.DbGetGameServerData={100 true true 9 龙虎斗 6 体验厅 133 999999999999 0 true 0 0 300 100 0.05 0 3 百人房间 lhd {[] 0 0 0 0 0 0}})
2019/08/23 17:28:18.881 [D] [mgrdesk.go:479]  获取玩家层级胜率成功%!(EXTRA []main.DbHierarchyGameRate=[{-0.16 9} {-0.35 10} {-0.12 11} {-1 36} {0.8 38} {0.12 39} {0.12 40} {0.12 41} {0.12 42} {0.12 43} {0.12 44} {0.12 45} {0.12 46} {0.12 47} {0.12 48} {0.12 49}])
2019/08/23 17:28:18.881 [D] [main.go:19]  服务器运行开始
2019/08/23 17:28:18.885 [D] [main.go:30]  main Serve:%!(EXTRA *net.OpError=listen tcp :8700: bind: 通常每个套接字地址(协议/网络地址/端口)只允许使用一次。)
2019/08/23 17:28:30.883 [D] [conf.go:34]  网关配置文件初始化结束...%!(EXTRA main.Config={0 192.168.0.139 9 3 6 8500 1 500 http://10.0.0.88:8089 http://10.0.0.88:8088 http://192.168.0.181:8087})
2019/08/23 17:28:30.884 [D] [ext_timer.go:15]  洗牌中
2019/08/23 17:28:30.892 [D] [hall.go:72]  大厅初始化结束
2019/08/23 17:28:30.892 [D] [hall.go:74]  游服初始化结束
2019/08/23 17:28:30.942 [D] [mgrdesk.go:453]  获取游戏服务器信息成功%!(EXTRA main.DbGetGameServerData={100 true true 9 龙虎斗 6 体验厅 133 999999999999 0 true 0 0 300 100 0.05 0 3 百人房间 lhd {[] 0 0 0 0 0 0}})
2019/08/23 17:28:30.960 [D] [mgrdesk.go:479]  获取玩家层级胜率成功%!(EXTRA []main.DbHierarchyGameRate=[{-0.16 9} {-0.35 10} {-0.12 11} {-1 36} {0.8 38} {0.12 39} {0.12 40} {0.12 41} {0.12 42} {0.12 43} {0.12 44} {0.12 45} {0.12 46} {0.12 47} {0.12 48} {0.12 49}])
2019/08/23 17:28:30.960 [D] [main.go:19]  服务器运行开始
2019/08/23 17:28:33.892 [D] [ext_timer.go:39]  准备中
2019/08/23 17:28:36.892 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:28:39.892 [D] [ext_timer.go:106]  下注中
2019/08/23 17:28:59.893 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:28:59.893 [D] [ext_timer.go:213]  点杀概率%!(EXTRA float64=0)
2019/08/23 17:29:03.892 [D] [ext_timer.go:277]  开牌
2019/08/23 17:29:09.894 [D] [ext_timer.go:345]  派奖中
2019/08/23 17:29:09.894 [D] [ext_timer.go:538]  结算中
2019/08/23 17:29:09.894 [D] [ext_timer.go:520]  Count:%!(EXTRA int=293)
2019/08/23 17:29:18.892 [D] [ext_timer.go:39]  准备中
2019/08/23 17:29:21.892 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:29:24.892 [D] [ext_timer.go:106]  下注中
2019/08/23 17:29:44.893 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:29:44.893 [D] [ext_timer.go:213]  点杀概率%!(EXTRA float64=0)
2019/08/23 17:29:51.509 [D] [conf.go:34]  网关配置文件初始化结束...%!(EXTRA main.Config={0 192.168.0.139 9 3 2 8500 1 500 http://10.0.0.88:8089 http://10.0.0.88:8088 http://192.168.0.181:8087})
2019/08/23 17:29:51.509 [D] [ext_timer.go:15]  洗牌中
2019/08/23 17:29:51.518 [D] [hall.go:72]  大厅初始化结束
2019/08/23 17:29:51.518 [D] [hall.go:74]  游服初始化结束
2019/08/23 17:29:51.583 [D] [mgrdesk.go:453]  获取游戏服务器信息成功%!(EXTRA main.DbGetGameServerData={100 true true 9 龙虎斗 2 王牌厅 26 9223372036854776 0 true 0 0 300 100 0 1000000 3 百人房间 lhd {[{0.45 5000000 0} {0.35 20000000 5000000} {0.25 999999999990000 20000000}] 118400001 1 10000 0.5 1 5}})
2019/08/23 17:29:51.647 [D] [mgrdesk.go:479]  获取玩家层级胜率成功%!(EXTRA []main.DbHierarchyGameRate=[{-0.16 9} {-0.35 10} {-0.12 11} {-1 36} {0.8 38} {0.12 39} {0.12 40} {0.12 41} {0.12 42} {0.12 43} {0.12 44} {0.12 45} {0.12 46} {0.12 47} {0.12 48} {0.12 49}])
2019/08/23 17:29:51.647 [D] [main.go:19]  服务器运行开始
2019/08/23 17:29:54.518 [D] [ext_timer.go:39]  准备中
2019/08/23 17:29:57.518 [D] [ext_timer.go:86]  发牌中
